ia,Field1,id,country,ccode,year,region,protest,protestnum,startday,startmonth,startyear,endday,endmonth,endyear,protesterv,location,participan,protesteri,protesterd,proteste_1,proteste_2,proteste_3,staterespo,stateres_1,stateres_2,stateres_3,stateres_4,stateres_5,stateres_6,sources,notes,particip_1,FID_,FID_1,AD,LOCATION_1,FREQ,COUNTRY_1,MULT,LAT,LON,TYPE,GridIDs
15,32,4042005005,Guinea-Bissau,404,2005,7,1,5,24,6,2005,24,6,2005,1,Bissau,100s,pro-Yala supporters,4,NA,NA,8,7,6,4,NA,NA,NA,NA,2.9E+11,3E+11,100-999,233,58,61,Bissau,21,Guinea-Bissau,NA,11.86357,-15.59767,City,706
16,33,4042005006,Guinea-Bissau,404,2005,7,1,6,28,7,2005,28,7,2005,1,Bissau,1000s,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,233,58,61,Bissau,21,Guinea-Bissau,NA,11.86357,-15.59767,City,706
17,38,4042010001,Guinea-Bissau,404,2010,7,1,1,1,4,2010,1,4,2010,0,Bissau,100s,Protesters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,233,58,61,Bissau,21,Guinea-Bissau,NA,11.86357,-15.59767,City,706
18,39,4042011001,Guinea-Bissau,404,2011,7,1,1,11,5,2011,11,5,2011,0,Bissau,50,consumers,5,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,233,58,61,Bissau,21,Guinea-Bissau,NA,11.86357,-15.59767,City,706
19,40,4042011002,Guinea-Bissau,404,2011,7,1,2,14,7,2011,14,7,2011,0,Bissau,1000s,protesters,5,6,NA,8,1,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,233,58,61,Bissau,21,Guinea-Bissau,NA,11.86357,-15.59767,City,706
20,41,4042011003,Guinea-Bissau,404,2011,7,1,3,19,7,2011,19,7,2011,0,Bissau,1000s,protesters,6,NA,NA,8,1,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,233,58,61,Bissau,21,Guinea-Bissau,NA,11.86357,-15.59767,City,706
21,42,4042011004,Guinea-Bissau,404,2011,7,1,4,5,8,2011,5,8,2011,0,Bissau,1000s,opposition parties,6,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,233,58,61,Bissau,21,Guinea-Bissau,NA,11.86357,-15.59767,City,706
22,43,4042011005,Guinea-Bissau,404,2011,7,1,5,26,12,2011,26,12,2011,0,Bissau,100s,armed troops,1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,233,58,61,Bissau,21,Guinea-Bissau,NA,11.86357,-15.59767,City,706
23,44,4042012001,Guinea-Bissau,404,2012,7,1,1,21,2,2012,21,2,2012,1,Bissau,100s,young activists,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,233,58,61,Bissau,21,Guinea-Bissau,NA,11.86357,-15.59767,City,706
24,45,4042013001,Guinea-Bissau,404,2013,7,1,1,8,10,2013,8,10,2013,1,Bissau,100s,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,233,58,61,Bissau,21,Guinea-Bissau,NA,11.86357,-15.59767,City,706
25,47,4112000001,Equatorial Guinea,411,2000,7,1,1,4,9,2000,4,9,2000,0,Malabo,160,Farmers,1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,197,257,260,Malabo,2,Equatorial Guinea,NA,3.75,8.78333,City,611
26,60,4112013001,Equatorial Guinea,411,2013,7,1,1,15,5,2013,15,5,2013,0,Malabo,200,Demonstrators,4,6,NA,8,2,4,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,197,257,260,Malabo,2,Equatorial Guinea,NA,3.75,8.78333,City,611
27,62,4202000001,Gambia,420,2000,7,1,1,10,4,2000,10,4,2000,1,National,100s,students,3,NA,NA,8,4,6,7,NA,NA,NA,NA,2.9E+11,3E+11,100-999,2,342,345,National,30,South Africa,1,-32.33137,22.50029,Admin,90 91 92 93 94 124 125 126 127 128 129 130 159 160 161 162 163 164 165 166 195 196 197 198 199 200 201 230 231 233 234 235 269 270
28,63,4202000002,Gambia,420,2000,7,1,2,11,4,2000,14,4,2000,1,National,100s,students and bandits,3,NA,NA,8,4,6,7,2,NA,NA,NA,2.9E+11,3E+11,100-999,2,342,345,National,30,South Africa,1,-32.33137,22.50029,Admin,90 91 92 93 94 124 125 126 127 128 129 130 159 160 161 162 163 164 165 166 195 196 197 198 199 200 201 230 231 233 234 235 269 270
29,70,4202007001,Gambia,420,2007,7,1,1,10,6,2007,10,6,2007,0,Serrekunda,100s,protesters,3,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,253,407,410,Serrekunda,1,Gambia,NA,13.43833,-16.67806,City,741
30,78,4322000001,Mali,432,2000,7,1,1,1,2,2000,1,2,2000,0,Bamako,100,performers,4,NA,NA,8,4,1,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,256,39,42,Bamako,12,Mali,NA,12.65,-8,City,744
31,79,4322000002,Mali,432,2000,7,1,2,18,12,2000,18,12,2000,0,Bamako,100s,teachers,1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,256,39,42,Bamako,12,Mali,NA,12.65,-8,City,744
32,81,4322002001,Mali,432,2002,7,1,1,4,5,2002,5,5,2002,0,Bamako,20000,Keita supporters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,>10000,256,39,42,Bamako,12,Mali,NA,12.65,-8,City,744
33,83,4322004001,Mali,432,2004,7,1,1,28,12,2004,28,12,2004,0,Bamako,100+,Malian Association of Physically Handicapped People,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,256,39,42,Bamako,12,Mali,NA,12.65,-8,City,744
34,84,4322005001,Mali,432,2005,7,1,1,9,7,2005,9,7,2005,0,Fana,700,protesters,4,5,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,258,123,126,Fana,1,Mali,NA,12.7787,-6.9564,City,745
35,86,4322007001,Mali,432,2007,7,1,1,3,6,2007,3,6,2007,0,Bamako,100s,pro-Keita supporters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,256,39,42,Bamako,12,Mali,NA,12.65,-8,City,744
36,87,4322007002,Mali,432,2007,7,1,2,21,6,2007,21,6,2007,0,Bamako,200,journalists,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,256,39,42,Bamako,12,Mali,NA,12.65,-8,City,744
37,88,4322008001,Mali,432,2008,7,1,1,5,5,2008,5,5,2008,1,Bamako,100s,students,4,NA,NA,8,2,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,256,39,42,Bamako,12,Mali,NA,12.65,-8,City,744
38,89,4322008002,Mali,432,2008,7,1,2,10,11,2008,10,11,2008,1,Lere,100s,protesters,4,NA,NA,8,4,7,6,NA,NA,NA,NA,2.9E+11,3E+11,100-999,264,234,237,Lere,1,Mali,NA,15.7118,-4.9118,City,781
39,90,4322009001,Mali,432,2009,7,1,1,22,8,2009,22,8,2009,0,Bamako,50000,High Islamic Council,4,7,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,>10000,256,39,42,Bamako,12,Mali,NA,12.65,-8,City,744
40,92,4322011001,Mali,432,2011,7,1,1,8,3,2011,8,3,2011,0,Koulikoro,50+,students,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,257,224,227,Koulikoro,1,Mali,NA,12.86273,-7.55985,City,744
41,93,4322011002,Mali,432,2011,7,1,2,30,11,2011,30,11,2011,0,Bamako,100s,protesters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,256,39,42,Bamako,12,Mali,NA,12.65,-8,City,744
42,94,4322012001,Mali,432,2012,7,1,1,1,1,2012,1,1,2012,0,"Bamako, Segou, and Sikasso",1000s,proteters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,323,40,43,"Bamako, Segou, and Sikasso",1,Mali,1,0,0,NA,710 744 745
43,95,4322012002,Mali,432,2012,7,1,2,21,5,2012,21,5,2012,1,Bamako,1000s,loyalist troops,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,256,39,42,Bamako,12,Mali,NA,12.65,-8,City,744
44,96,4322012003,Mali,432,2012,7,1,3,14,7,2012,14,7,2012,0,Goundam,90+,protesters,3,NA,NA,8,2,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,269,144,147,Goundam,1,Mali,NA,18.60035,-4.99306,Admin,781
45,97,4322012004,Mali,432,2012,7,1,4,16,7,2012,16,7,2012,0,Bamako,100s,women,3,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,256,39,42,Bamako,12,Mali,NA,12.65,-8,City,744
46,98,4322012005,Mali,432,2012,7,1,5,12,8,2012,12,8,2012,0,Bamako,50000,protesters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,>10000,256,39,42,Bamako,12,Mali,NA,12.65,-8,City,744
47,99,4322013001,Mali,432,2013,7,1,1,6,7,2013,6,7,2013,0,Kidal,50+,Tuareg separatists,3,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,270,200,203,Kidal,2,Mali,NA,18.44111,1.40778,City,818
48,100,4322013002,Mali,432,2013,7,1,2,28,11,2013,28,11,2013,1,Kidal,100s,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,270,200,203,Kidal,2,Mali,NA,18.44111,1.40778,City,818
49,103,4332001001,Senegal,433,2001,7,1,1,31,1,2001,31,1,2001,1,Dakar,50+,students,1,NA,NA,8,4,7,6,1,NA,NA,NA,2.9E+11,3E+11,50-99,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
50,104,4332001002,Senegal,433,2001,7,1,2,1,2,2001,1,2,2001,0,Dakar,100s,students,3,1,NA,8,1,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
51,105,4332001003,Senegal,433,2001,7,1,3,2,3,2001,2,3,2001,0,Dakar,50+,Air Afrique employees,1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
52,106,4332001004,Senegal,433,2001,7,1,4,6,9,2001,6,9,2001,0,Dakar,400,women,7,4,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
53,107,4332001005,Senegal,433,2001,7,1,5,3,12,2001,3,12,2001,0,Dakar,100s,protesters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
54,108,4332002001,Senegal,433,2002,7,1,1,29,9,2002,29,9,2002,0,Dakar,1000s,protesters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
55,113,4332007001,Senegal,433,2007,7,1,1,27,1,2007,21,1,2007,0,Dakar,100+,protesters,4,NA,NA,8,4,2,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
56,114,4332008001,Senegal,433,2008,7,1,1,23,12,2008,23,12,2008,1,Kedougou,100+,protesters,1,5,NA,8,2,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,255,187,190,Kedougou,1,Senegal,NA,12.55146,-12.17586,Admin,707 708 742 743
57,115,4332009001,Senegal,433,2009,7,1,1,21,2,2009,21,2,2009,0,Dakar,50+,protesters,4,NA,NA,8,2,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
58,116,4332009002,Senegal,433,2009,7,1,2,28,5,2009,28,5,2009,1,Dakar,50+,religious protesters,7,4,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
59,117,4332009003,Senegal,433,2009,7,1,3,30,12,2009,30,12,2009,1,Dakar,50+,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
60,118,4332010001,Senegal,433,2010,7,1,1,18,3,2010,18,3,2010,1,Velingara,50+,youths,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,254,447,450,Velingara,1,Senegal,NA,12.986,-13.813,Admin,742
61,119,4332010002,Senegal,433,2010,7,1,2,3,4,2010,3,4,2010,0,Dakar,1000s,protesters,6,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
62,120,4332010003,Senegal,433,2010,7,1,3,14,7,2010,21,7,2010,1,natonal,100s,protesters,5,NA,NA,8,3,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,421,345,348,natonal,1,Senegal,1,32.50349,-93.7699,Admin,706 707 708 740 741 742 743 776 777 778
63,121,4332010004,Senegal,433,2010,7,1,4,2,8,2010,2,8,2010,1,Saint-Louis,50+,students,4,NA,NA,8,2,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,263,403,406,Saint-Louis,1,Senegal,NA,16.01793,-16.48962,City,776
64,122,4332010005,Senegal,433,2010,7,1,5,14,8,2010,14,8,2010,0,Dakar,1000,protesters,5,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,1000-1999,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
65,123,4332010006,Senegal,433,2010,7,1,6,25,12,2010,26,12,2010,1,Dakar,100+,protesters,5,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
66,124,4332010007,Senegal,433,2010,7,1,7,29,12,2010,29,12,2010,0,Dakar,50+,protesters,4,NA,NA,8,4,2,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
67,125,4332011001,Senegal,433,2011,7,1,1,19,3,2011,19,3,2011,0,Dakar,100s,protesters,5,4,NA,8,2,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
68,126,4332011002,Senegal,433,2011,7,1,2,23,6,2011,23,6,2011,1,Dakar,1000,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,1000-1999,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
69,127,4332011003,Senegal,433,2011,7,1,3,24,6,2011,24,6,2011,1,Dakar,100s,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
70,128,4332011004,Senegal,433,2011,7,1,4,29,6,2011,29,6,2011,1,Dakar,50+,protesters,5,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
71,129,4332011005,Senegal,433,2011,7,1,5,23,7,2011,23,7,2011,0,Dakar,1000s,protesters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
72,130,4332012001,Senegal,433,2012,7,1,1,27,1,2012,27,1,2012,1,"Dakar, Thies, and Kaolack",10000s,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,>10000,346,101,104,"Dakar, Thies, and Kaolack",1,Senegal,1,0,0,NA,741
73,131,4332012002,Senegal,433,2012,7,1,2,30,1,2012,30,1,2012,1,Dakar and Podor,100+,protesters,4,NA,NA,8,7,6,4,NA,NA,NA,NA,2.9E+11,3E+11,100-999,345,100,103,Dakar and Podor,3,Senegal,1,0,0,NA,741 776
74,132,4332012003,Senegal,433,2012,7,1,3,2,2,2012,2,2,2012,0,Dakar and Podor,100s,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,345,100,103,Dakar and Podor,3,Senegal,1,0,0,NA,741 776
75,133,4332012004,Senegal,433,2012,7,1,4,17,2,2012,17,2,2012,1,Dakar and Podor,50+,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,345,100,103,Dakar and Podor,3,Senegal,1,0,0,NA,741 776
76,134,4332012005,Senegal,433,2012,7,1,5,19,2,2012,19,2,2012,1,Dakar,100s,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
77,135,4332012006,Senegal,433,2012,7,1,6,21,2,2012,21,2,2012,1,Dakar,100s,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
78,136,4332013001,Senegal,433,2013,7,1,1,12,9,2013,12,9,2013,0,Dakar,50+,Wade supporters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
79,137,4332013002,Senegal,433,2013,7,1,2,24,9,2013,24,9,2013,1,Dakar,50+,protesters,5,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,251,99,102,Dakar,23,Senegal,NA,14.6937,-17.44406,City,741
80,139,4342000001,Benin,434,2000,7,1,1,4,5,2000,5,5,2000,1,Lokossa,613,prisoners,4,NA,NA,8,4,1,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,214,241,244,Lokossa,1,Benin,NA,6.63869,1.71674,City,643
81,140,4342001001,Benin,434,2001,7,1,1,19,1,2001,19,1,2001,1,Cotonou,50+,students,3,NA,NA,8,3,2,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,212,97,100,Cotonou,18,Benin,NA,6.36536,2.41833,City,643
82,141,4342001002,Benin,434,2001,7,1,2,5,6,2001,5,6,2001,0,Cotonou,50+,students,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,212,97,100,Cotonou,18,Benin,NA,6.36536,2.41833,City,643
83,142,4342001003,Benin,434,2001,7,1,3,13,8,2001,13,8,2001,0,Cotonou,400,customs agents,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,212,97,100,Cotonou,18,Benin,NA,6.36536,2.41833,City,643
84,143,4342002001,Benin,434,2002,7,1,1,12,2,2002,13,2,2002,0,Cotonou,100s,"students, treasury and finance unions",1,4,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,212,97,100,Cotonou,18,Benin,NA,6.36536,2.41833,City,643
85,144,4342002002,Benin,434,2002,7,1,2,25,4,2002,25,4,2002,0,Cotonou,1000,opposition leader Nicephore Soglo,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,1000-1999,212,97,100,Cotonou,18,Benin,NA,6.36536,2.41833,City,643
86,146,4342004001,Benin,434,2004,7,1,1,6,9,2004,6,9,2004,0,Southern coast towns to Nigerian border,200,truck drivers,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,443,416,419,Southern coast towns to Nigerian border,1,Benin,1,0,0,NA,643 644
87,147,4342005001,Benin,434,2005,7,1,1,24,3,2005,24,3,2005,1,Cotonou,50+,students and teachers,4,NA,NA,8,4,2,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,212,97,100,Cotonou,18,Benin,NA,6.36536,2.41833,City,643
88,148,4342006001,Benin,434,2006,7,1,1,25,6,2006,25,6,2006,0,Cotonou,100+,protesters,4,NA,NA,8,1,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,212,97,100,Cotonou,18,Benin,NA,6.36536,2.41833,City,643
89,149,4342007001,Benin,434,2007,7,1,1,16,7,2007,16,7,2007,0,Cotonou,100s,President Yayi Boni,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,212,97,100,Cotonou,18,Benin,NA,6.36536,2.41833,City,643
90,150,4342008001,Benin,434,2008,7,1,1,9,7,2008,9,7,2008,0,Cotonou,50+,protesters,5,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,212,97,100,Cotonou,18,Benin,NA,6.36536,2.41833,City,643
91,152,4342010001,Benin,434,2010,7,1,1,20,7,2010,20,7,2010,0,National,100000,protesters,4,NA,NA,8,1,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,>10000,2,342,345,National,30,South Africa,1,-32.33137,22.50029,Admin,90 91 92 93 94 124 125 126 127 128 129 130 159 160 161 162 163 164 165 166 195 196 197 198 199 200 201 230 231 233 234 235 269 270
92,153,4342011001,Benin,434,2011,7,1,1,22,2,2011,22,2,2011,0,Cotonou,1000,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,1000-1999,212,97,100,Cotonou,18,Benin,NA,6.36536,2.41833,City,643
93,154,4342011002,Benin,434,2011,7,1,2,3,3,2011,3,3,2011,0,Cotonou,200,protesters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,212,97,100,Cotonou,18,Benin,NA,6.36536,2.41833,City,643
94,155,4342011003,Benin,434,2011,7,1,3,16,3,2011,16,3,2011,0,Cotonou,100s,protesters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,212,97,100,Cotonou,18,Benin,NA,6.36536,2.41833,City,643
95,156,4342011004,Benin,434,2011,7,1,4,18,3,2011,18,3,2011,0,National,100s,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,2,342,345,National,30,South Africa,1,-32.33137,22.50029,Admin,90 91 92 93 94 124 125 126 127 128 129 130 159 160 161 162 163 164 165 166 195 196 197 198 199 200 201 230 231 233 234 235 269 270
96,157,4342011005,Benin,434,2011,7,1,5,24,3,2011,24,3,2011,0,Cotonou,100s,protesters,4,NA,NA,8,4,2,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,212,97,100,Cotonou,18,Benin,NA,6.36536,2.41833,City,643
