Deal ID,Is public,Deal scope,Deal size,Current size under contract,Current negotiation status,Current implementation status,Spatial accuracy level,Location 1: Location,Latitude,Longitude,Target country,Intention of investment,Negotiation status,Contract farming,Crops area,Water extraction envisaged,Source of water extraction,Use of irrigation infrastructure,Presence of land conflicts,Year
1777,Yes,transnational,418,418,Concluded (Contract signed),In operation (production),Exact location,"Makhana, Senegal",16.077601,-16.351632,Senegal,###Food crops,2003##Concluded (Contract signed),No,"###Corn (Maize), Fruit (unspecified), Tomatoes",Yes,Surface water|River,,,2000
1795,Yes,transnational,1430,1430,Concluded (Contract signed),In operation (production),Exact location,"Gandon, Senegal",15.971726,-16.350997,Senegal,###Food crops,2009##Concluded (Contract signed),Yes,"###Bean, Cereals (unspecified), Corn (Maize), Onion, Peanut (groundnut), Potatoes, Sweet Potatoes, Vegetables (unspecified), Pepper",Yes,Surface water|River,,Yes,2000
4932,Yes,transnational,100,100,Concluded (Contract signed),In operation (production),Exact location,"Mbour, Senegal",16.214805,-16.282163,Senegal,###Food crops,2006##Concluded (Contract signed),No,###Fruit (unspecified),Yes,Surface water|River,,,2000
7911,Yes,domestic,1500,1500,Concluded (Contract signed),In operation (production),Coordinates,"Diama, Sénégal",16.309105,-16.266477,Senegal,#current#2700#Food crops,2013-07-04##Concluded (Contract signed),Yes,#current#2700#Rice,,Surface water|Lake,Yes,No,2000
4055,Yes,transnational,4500,4500,Concluded (Contract signed),In operation (production),Exact location,"Ross Bethio, Senegal",16.314833,-16.240089,Senegal,###Food crops,2013##Intended (Under negotiation)|2014##Concluded (Contract signed),Yes,###Rice,Yes,Surface water|River,,,2000
3850,Yes,transnational,50000,50000,Concluded (Contract signed),Project abandoned,Administrative region,"Louga, Senegal",15.614177,-16.22868,Senegal,###Biofuels,2010##Concluded (Contract signed),No,###Jatropha,,,,,2000
5353,Yes,domestic,20000,20000,Concluded (Contract signed),In operation (production),Administrative region,"Kaolack, Senegal",14.165208,-16.075775,Senegal,###Food crops,2005##Concluded (Contract signed),,###Fruit (unspecified),Yes,,,,2000
4059,Yes,transnational,2750,2750,Concluded (Contract signed),In operation (production),Exact location,"Ourour, Senegal",14.32361,-16.030491,Senegal,"###Biofuels, For carbon sequestration/REDD",2009##Concluded (Contract signed),,"###Jatropha, Peanut (groundnut)",,,,,2000
7868,Yes,transnational,200,200,Concluded (Contract signed),In operation (production),Coordinates,"Yamane, Sénégal",16.118246,-16.006388,Senegal,2011##200#Food crops|2020#current#300#Food crops,##Concluded (Contract signed),No,#current#300#Other crops (please specify),,Surface water|Lake,Yes,No,2000
4930,Yes,transnational,310,310,Concluded (Contract signed),In operation (production),Exact location,"Yamane, Senegal",16.112165,-16.006138,Senegal,###Food crops,2011##Concluded (Contract signed),No,"###Fruit (unspecified), Onion, Potatoes, Vegetables (unspecified)",Yes,Surface water|Lake,,,2000
8127,Yes,domestic,3078,0,Intended (Expression of interest),Project abandoned,Administrative region,"Keur Momar Sarr, Sénégal",15.923098,-15.962644,Senegal,###Food crops,2017##Intended (Expression of interest),,,,,,,2000
8129,Yes,domestic,2500,2500,Concluded (Contract signed),Project not started,Administrative region,"Keur Momar Sarr, Sénégal",15.923098,-15.962644,Senegal,##2015#Food crops,##Concluded (Contract signed),,,,,,,2000
8130,Yes,domestic,2500,2500,Concluded (Contract signed),Project abandoned,Administrative region,"Keur Momar Sarr, Sénégal",15.923098,-15.962644,Senegal,###Food crops,##Concluded (Contract signed),,,,,,,2000
8132,Yes,domestic,2400,2400,Concluded (Contract signed),In operation (production),Administrative region,"Keur Momar Sarr, Sénégal",15.923098,-15.962644,Senegal,###Food crops,##Concluded (Contract signed),,,,,,,2000
3433,Yes,domestic,10000,10000,Concluded (Contract signed),Startup phase (no production),Exact location,"Gnit, Senegal",16.279102,-15.931011,Senegal,"###Biofuels, Food crops",2012##Concluded (Contract signed),No,"###Corn (Maize), Peanut (groundnut), Rice, Sun Flower, Sweet Potatoes",Yes,Surface water|River|Lake,,Yes,2000
4056,Yes,domestic,5000,5000,Concluded (Contract signed),In operation (production),Administrative region,"Syer, Senegal",16.075929,-15.892888,Senegal,###Food crops,2005##Concluded (Contract signed),,###Vegetables (unspecified),,,,,2000
1765,Yes,transnational,8000,8000,Concluded (Contract signed),Project abandoned,Administrative region,"Lac de Guiers, Senegal",16.224744,-15.840772,Senegal,"###Biofuels, Food crops, Renewable Energy",2011##Concluded (Contract signed),No,###Sugar Cane,Yes,Surface water|River,,,2000
5533,Yes,domestic,6000,6000,Concluded (Contract signed),In operation (production),Administrative region,"Lac de Guiers, Senegal",16.224744,-15.840772,Senegal,###Food crops,##Concluded (Contract signed),No,"###Peanut (groundnut), Sesame, Sweet Potatoes, Corn (Maize), Soya Beans",Yes,Lake|Surface water,,,2000
4931,Yes,transnational,5700,5700,Concluded (Contract signed),In operation (production),Exact location,"Mbane, Senegal",16.170135,-15.807977,Senegal,###Food crops,2008##Concluded (Contract signed),No,"###Banana, Corn (Maize), Onion, Papaya, Potatoes, Rice, Seeds Production (unspecified), Wheat",Yes,Surface water|River,,,2000
1637,Yes,transnational,2000,2000,Concluded (Contract signed),Project abandoned,Administrative region,"Rosso, Mauritania",16.512778,-15.805,Mauritania,###Food crops,2008##Concluded (Contract signed),No,###Rice,,,,,2000
7031,Yes,transnational,1360,1360,Concluded (Contract signed),In operation (production),Administrative region,"Rosso, Mauritania",16.516341,-15.802612,Mauritania,"###Food crops, Fodder, Livestock",##Concluded (Contract signed),,,,,,,2000
3435,Yes,transnational,20000,20000,Failed (Contract cancelled),None,Administrative region,"Mbane, Senegal",16.266667,-15.8,Senegal,"###Biofuels, Food crops",2005##Concluded (Contract signed)|2009##Failed (Contract cancelled),,"###Jatropha, Food crops (unspecified)",Yes,,,,2000
5174,Yes,transnational,250,250,Concluded (Contract signed),In operation (production),Administrative region,"Mbane, Senegal",16.266767,-15.795274,Senegal,###Food crops,2003##Concluded (Contract signed),No,"###Fruit (unspecified), Onion",Yes,Surface water|Lake,,Yes,2000
7934,Yes,transnational,1500,1500,Concluded (Contract signed),In operation (production),Exact location,"Mbane, Saint Louis, Senegal",16.180327,-15.782512,Senegal,2008##1500#Food crops,2008##Concluded (Contract signed),No,,,Surface water|Lake,Yes,No,2000
5175,Yes,transnational,120,120,Concluded (Contract signed),In operation (production),Administrative region,"Richard Toll, Senegal",16.458878,-15.694045,Senegal,###Food crops,2007##Concluded (Contract signed),No,"###Onion, Peanut (groundnut), Fruit (unspecified), Potatoes",Yes,Lake|Surface water,,,2000
8131,Yes,domestic,500,500,Concluded (Contract signed),In operation (production),Administrative region,"Diendé, Sénégal",12.789595,-15.557696,Senegal,###Food crops,##Concluded (Contract signed),,,,,,,2000
5429,Yes,transnational,31200,31200,Concluded (Contract signed),In operation (production),Exact location,"Akjoujt, Mauritania",20.556383,-15.513332,Mauritania,###Mining,2010##Concluded (Contract signed),No,,Yes,,,,2000
1772,Yes,transnational,5000,5000,Concluded (Oral Agreement),Project abandoned,Administrative region,"Dagana, Senegal",16.510563,-15.503479,Senegal,"###Biofuels, Other (please specify)",2007##Concluded (Oral Agreement),No,###Jatropha,Yes,Surface water|River,,,2000
7019,Yes,transnational,1750,1750,Concluded (Contract signed),In operation (production),Approximate location,"Mansôa, Guinea-Bissau",12.081312,-15.318973,Guinea-Bissau,#current##Food crops,2013##Concluded (Contract signed),Yes,"###Mango, Cashew, Peanut (groundnut), Fruit (unspecified)",Yes,,Yes,,2000
3854,Yes,transnational,30000,30000,Concluded (Contract signed),Project abandoned,Country,The Gambia,13.443182,-15.310139,"Gambia, The",##30000#Biofuels,##Concluded (Contract signed),,###Jatropha,,,,,2000
6944,Yes,domestic,0,0,Intended (Expression of interest),None,Country,The Gambia,13.443182,-15.310139,"Gambia, The",###Food crops,2019#current#Intended (Expression of interest),,,,,,,2000
8087,Yes,transnational,45000,45000,Intended (Under negotiation),Project not started,Administrative region,"Maleme-Hodar, Sénégal",14.08844,-15.29466,Senegal,###Conservation,2019##Intended (Under negotiation),,,,,,,2000
4057,Yes,domestic,3000,3000,Concluded (Contract signed),Project abandoned,Administrative region,"Diokoul, Senegal",13.955319,-15.286778,Senegal,###Livestock,2006##Concluded (Contract signed),,,,,,,2000
5557,Yes,domestic,3500,3500,Concluded (Contract signed),Startup phase (no production),Administrative region,"Lake Rkiz, Mauritania",16.8684,-15.283851,Mauritania,###Agriculture unspecified,##Concluded (Contract signed),,,,,,,2000
5558,Yes,domestic,3200,3200,Concluded (Contract signed),Startup phase (no production),Administrative region,"Lake Rkiz, Mauritania",16.8684,-15.283851,Mauritania,###Agriculture unspecified,##Concluded (Contract signed),,,,,,,2000
1791,Yes,transnational,20000,20000,Concluded (Contract signed),In operation (production),Administrative region,"Linguere, Senegal",15.396016,-15.11373,Senegal,"###Non-food agricultural commodities, For carbon sequestration/REDD, Forestry unspecified",2005##Concluded (Contract signed),No,"###Accacia, Rubber tree",,,,Yes,2000
8092,Yes,transnational,10000,10000,Concluded (Oral Agreement),In operation (production),Administrative region,"Nioro, Sénégal",13.5,-15.05,Senegal,###Conservation,##Concluded (Oral Agreement),,,,,,,2000
5352,Yes,domestic,0,0,None,None,Administrative region,"Podor, Senegal",16.660059,-14.959329,Senegal,###Food crops,,Yes,###Rice,,,,,2000
8049,Yes,transnational,100,100,Concluded (Contract signed),In operation (production),Administrative region,"Koungheul, Sénégal",13.980214,-14.801689,Senegal,###Livestock,2012##Concluded (Contract signed),No,,,,,,2000
8051,Yes,domestic,120,120,Concluded (Contract signed),In operation (production),Administrative region,"Koungheul, Sénégal",13.980214,-14.801689,Senegal,#current##Food crops,2012##Concluded (Contract signed),No,,,,,,2000
8052,Yes,domestic,60,60,Concluded (Contract signed),In operation (production),Administrative region,"Koungheul, Sénégal",13.980214,-14.801689,Senegal,#current##Food crops,2016##Concluded (Contract signed),No,,,,,,2000
8093,Yes,domestic,3000,3000,Concluded (Contract signed),In operation (production),Administrative region,"Koungheul, Sénégal",13.980214,-14.801689,Senegal,2013###Mining,2013##Concluded (Contract signed),,,,,,,2000
4619,Yes,transnational,3200,3200,Concluded (Contract signed),Project not started,Approximate location,"Dar el Barka, Mauritania",16.69212,-14.70073,Mauritania,###Food crops,2013##Concluded (Contract signed),No,"###Onion, Potatoes",Yes,Surface water|River,,,2000
4305,Yes,transnational,1214,1214,Concluded (Contract signed),In operation (production),Administrative region,"Bafatá, Guinea-Bissau",12.171944,-14.6575,Guinea-Bissau,###Food crops,2010##Concluded (Contract signed),,###Rice,,,,,2000
1767,Yes,transnational,100000,0,Failed (Negotiations failed),None,Administrative region,"Podor, Senegal",16.221125,-14.47233,Senegal,###Food crops,2009##Intended (Under negotiation)|2012##Failed (Negotiations failed),,###Rice,Yes,,,,2000
1774,Yes,transnational,0,0,Intended (Under negotiation),None,Country,Senegal,14.497401,-14.452362,Senegal,###Food crops,2009##Intended (Under negotiation),Yes,###Peanut (groundnut),,,,,2000
1797,Yes,transnational,3000,3000,Concluded (Contract signed),Project abandoned,Country,Senegal,14.497401,-14.452362,Senegal,###Biofuels,2006##Concluded (Contract signed),,###Jatropha,,,,,2000
3855,Yes,transnational,100000,100000,Concluded (Contract signed),Startup phase (no production),Country,Senegal,14.497401,-14.452362,Senegal,###Biofuels,2009##Intended (Under negotiation)|##Concluded (Contract signed),,###Jatropha,,,,,2000
5360,Yes,domestic,300,0,Intended (Under negotiation),None,Country,Senegal,14.497401,-14.452362,Senegal,###Food crops,##Intended (Under negotiation),,###Corn (Maize),,,,,2000
4800,Yes,transnational,8100,8100,Concluded (Contract signed),In operation (production),Exact location,"Akjoujt, Mauritania",19.754513,-14.429463,Mauritania,###Mining,2004##Concluded (Contract signed),No,,Yes,Groundwater,,,2000
5477,Yes,transnational,10000,10000,Failed (Contract cancelled),None,Administrative region,"Dodel, Senegal",16.487015,-14.421918,Senegal,###Food crops,2017##Concluded (Contract signed)|2019-04-11##Failed (Contract cancelled),Yes,"###Cassava (Maniok), Rice",,,,Yes,2000
8133,Yes,domestic,1500,1500,Concluded (Contract signed),In operation (production),Administrative region,"Mampatim Maounde, Sénégal",12.892471,-14.335553,Senegal,###Food crops,##Concluded (Contract signed),,,,,,,2000
5555,Yes,transnational,0,0,Concluded (Contract signed),In operation (production),Administrative region,"Boke, Guinea",10.940695,-14.280296,Guinea,###Mining,2015##Concluded (Contract signed),No,,,,,,2000
1639,Yes,transnational,12500,0,Intended (Under negotiation),None,Administrative region,"Bogué, Mauritania",16.590811,-14.26329,Mauritania,###Livestock,2010##Intended (Expression of interest)|2011##Intended (Under negotiation),,,,,,,2000
7030,Yes,transnational,50500,0,Intended (Under negotiation),None,Approximate location,"Bogué, Mauritania",16.59507,-14.259944,Mauritania,,2010##Intended (Under negotiation),,,,,,,2000
4058,Yes,transnational,3150,3150,Concluded (Contract signed),Project abandoned,Administrative region,"Wassadou, Senegal",12.745737,-14.163216,Senegal,###Agriculture unspecified,2011##Concluded (Contract signed),,,,,,Yes,2000
3431,Yes,transnational,60000,0,Intended (Under negotiation),None,Administrative region,"Anambe, Senegal",12.952254,-14.149203,Senegal,###Food crops,2011##Intended (Under negotiation),,###Rice,,,,,2000
3437,Yes,transnational,11000,11000,Concluded (Contract signed),None,Administrative region,"Anambe, Senegal",12.952254,-14.149203,Senegal,###Biofuels,##Concluded (Contract signed),,###Jatropha,,,,,2000
7935,Yes,transnational,30000,30000,Concluded (Contract signed),In operation (production),Coordinates,"Kolda, Ouassadou",12.853005,-14.126851,Senegal,###Tourism,2017##Concluded (Contract signed),No,,,,,No,2000
1781,Yes,domestic,0,0,Concluded (Oral Agreement),None,Administrative region,"Velingara, Senegal",13.14756,-14.11483,Senegal,###Biofuels,2008##Concluded (Oral Agreement),Yes,###Jatropha,,,,,2000
7943,Yes,domestic,200,200,Concluded (Oral Agreement),Project not started,Administrative region,"Vélingara, Sénégal",13.144075,-14.105941,Senegal,###Food crops,##Concluded (Oral Agreement),No,,,,,,2000
8088,Yes,domestic,31082,31082,Concluded (Contract signed),In operation (production),Administrative region,"Vélingara, Sénégal",13.144075,-14.105941,Senegal,##2011#Food crops,2011##Concluded (Contract signed),,,,,,,2000
8089,Yes,domestic,26518,26518,Concluded (Contract signed),In operation (production),Administrative region,"Vélingara, Sénégal",13.144075,-14.105941,Senegal,2011##26518#Food crops,2011##Concluded (Contract signed),,,,,,,2000
1766,Yes,transnational,30000,30000,Concluded (Contract signed),Project abandoned,Administrative region,"Kounkane, Senegal",12.93158,-14.07759,Senegal,###Biofuels,2008##Concluded (Contract signed),,###Jatropha,,,,,2000
1769,Yes,transnational,116435,0,Failed (Negotiations failed),None,Administrative region,"Vallee du Senegal, Senegal",16.166667,-14,Senegal,###Food crops,2009##Intended (Under negotiation)|2010##Failed (Negotiations failed),,###Rice,Yes,Surface water|River,,,2000
7941,Yes,domestic,1000,1000,Concluded (Contract signed),Startup phase (no production),Coordinates,Tambacounda,13.816419,-13.956789,Senegal,###Food crops,##Concluded (Contract signed),,,,,,No,2000
1361,Yes,transnational,30,30,Concluded (Contract signed),None,Administrative region,"Conakry, Guinea",9.537029,-13.67847,Guinea,###Industry,2011##Concluded (Contract signed),No,,,,,,2000
3436,Yes,transnational,500,500,Concluded (Contract signed),Project abandoned,Administrative region,"Tambacounda, Senegal",13.772589,-13.671006,Senegal,###Biofuels,2010##Concluded (Contract signed),No,###Jatropha,,,,,2000
7942,Yes,domestic,0,120,None,In operation (production),Administrative region,"Missira, Sénégal",13.523846,-13.511882,Senegal,##120#Food crops,,No,,,,,,2000
8076,Yes,transnational,169300,169300,Concluded (Contract signed),In operation (production),Administrative region,"Ogo, Sénégal",15.548442,-13.298096,Senegal,#current##Mining,##Concluded (Contract signed),,,,,,,2000
8080,Yes,transnational,159000,159000,Concluded (Contract signed),In operation (production),Administrative region,"Matam, Sénégal",15.660023,-13.257691,Senegal,###Mining,##Concluded (Contract signed),,,,,,,2000
3014,Yes,transnational,110,110,Concluded (Contract signed),Startup phase (no production),Administrative region,"Bureh Town, Sierra Leone",8.205183,-13.156428,Sierra Leone,###Food crops,2008##Concluded (Contract signed),,###Rice,Yes,,,,2000
7636,Yes,domestic,0,0,Concluded (Contract signed),In operation (production),Approximate location,"Newton, Sierra Leone",8.33517,-13.008333,Sierra Leone,#current##Food crops,2016##Concluded (Contract signed),Yes,###Mango,,,,,2000
3005,Yes,transnational,41582,41582,Concluded (Contract signed),In operation (production),Administrative region,"Port Loko, Sierra Leone",8.766667,-12.7875,Sierra Leone,###Agriculture unspecified,2011##Concluded (Contract signed),,###Oil Palm,,,,,2000
7399,Yes,domestic,32441,32441,Concluded (Contract signed),In operation (production),Exact location,"Port Loko, Sierra Leone",8.709125,-12.713512,Sierra Leone,###Agriculture unspecified,2011##Concluded (Contract signed),Yes,###Oil Palm,,,,,2000
6001,Yes,transnational,2300,2300,Concluded (Contract signed),In operation (production),Administrative region,"Lunsar, Sierra Leone",8.688128,-12.535539,Sierra Leone,"###Food crops, Non-food agricultural commodities",2005##Intended (Expression of interest)|2010##Concluded (Contract signed),Yes,"###Castor Oil Plant, Corn (Maize), Rice, Rubber tree, Sesame",Yes,,,,2000
1806,Yes,transnational,31900,31900,Concluded (Contract signed),Project abandoned,Exact location,"Marampa, Sierra Leone",8.690506,-12.509067,Sierra Leone,###Mining,2009##Concluded (Contract signed),No,,,,,,2000
3006,Yes,transnational,10117,0,Failed (Negotiations failed),None,Administrative region,"Marampa, Sierra Leone",8.692456,-12.46195,Sierra Leone,"###Food crops, Agriculture unspecified",2007##Intended (Under negotiation)|##Failed (Negotiations failed),,"###Oil Palm, Rice",,,,,2000
1820,Yes,transnational,200,200,Concluded (Contract signed),In operation (production),Exact location,"Masimera, Sierra Leone",8.644771,-12.450597,Sierra Leone,###Food crops,##Concluded (Contract signed),No,"###Rice, Sesame, Sorghum",,,,,2000
3003,Yes,transnational,126000,126000,Concluded (Oral Agreement),Project abandoned,Administrative region,"Masimera, Sierra Leone",8.644771,-12.450597,Sierra Leone,"###Biofuels, Food crops, Agriculture unspecified",2010##Concluded (Oral Agreement),No,"###Cassava (Maniok), Mango, Oil Palm, Pineapple, Rice, Sugar Cane",,,,Yes,2000
4929,Yes,transnational,2500,2500,Concluded (Contract signed),In operation (production),Exact location,"Imperi, Sierra Leone",7.646974,-12.310594,Sierra Leone,"###Biofuels, Food crops, Agriculture unspecified",2013##Concluded (Contract signed),,"###Cacao, Coffee Plant, Oil Palm, Rubber tree",,,,,2000
3424,Yes,transnational,21000,21000,Concluded (Contract signed),Startup phase (no production),Exact location,"Mile 91, Tonkolili, Sierra Leone",8.469987,-12.302719,Sierra Leone,###Forest logging / management (for wood and fibre),2011##Concluded (Contract signed),No,"###Accacia, Eucalyptus, Teak",Yes,Groundwater,,,2000
5185,Yes,transnational,32170,32170,Concluded (Contract signed),In operation (production),Exact location,"Gondama, Sierra Leone",7.784644,-12.271531,Sierra Leone,###Mining,2012##Concluded (Contract signed),No,,Yes,,,,2000
7228,Yes,transnational,54000,0,Intended (Memorandum of understanding),None,Approximate location,"Torma, Sierra Leone",7.329978,-12.242906,Sierra Leone,###Food crops,2019##Intended (Memorandum of understanding),No,###Rice,Yes,Surface water|River,,,2000
1798,Yes,transnational,23500,23500,Concluded (Contract signed),In operation (production),Coordinates,"Gbanti, Sierra Leone",8.713708,-12.235653,Sierra Leone,"###Biofuels, Food crops, Renewable Energy",2010##Concluded (Contract signed),,"###Cassava (Maniok), Sugar Cane",Yes,Surface water|River,Yes,Yes,2000
5184,Yes,transnational,55890,55890,Concluded (Contract signed),In operation (production),Administrative region,"Mokaba, Sierra Leone",8.066006,-12.21948,Sierra Leone,###Mining,2001##Concluded (Contract signed),No,,Yes,,,,2000
6103,Yes,transnational,7700,7700,Concluded (Contract signed),In operation (production),Administrative region,"Kedougou, Senegal",12.560461,-12.174708,Senegal,###Mining,2015##Concluded (Contract signed),No,,,Surface water|River,,,2000
3009,Yes,transnational,0,0,Failed (Negotiations failed),None,Administrative region,"Mattru Jong, Sierra Leone",7.6,-12.166667,Sierra Leone,"###Agriculture unspecified, Industry",##Intended (Expression of interest)|##Failed (Negotiations failed),Yes,###Oil Palm,,,,,2000
3428,Yes,transnational,11900,0,Intended (Expression of interest),None,Administrative region,"Tai, Sierra Leone",7.669096,-12.164059,Sierra Leone,###Food crops,2011##Intended (Expression of interest),,###Rice,,,,,2000
7637,Yes,transnational,0,0,Failed (Negotiations failed),Project abandoned,Administrative region,"Bonthe, Sierra Leone",7.527415,-12.163272,Sierra Leone,###Food crops,2014##Failed (Negotiations failed),,###Rice,,,,,2000
3015,Yes,transnational,525000,0,Failed (Negotiations failed),Project not started,Administrative region,"Bombali, Sierra Leone",9.247584,-12.163272,Sierra Leone,"###Biofuels, Food crops, Renewable Energy",2010##Intended (Under negotiation)|2010##Failed (Negotiations failed),,###Sugar Cane,,,,,2000
3008,Yes,transnational,1845,1845,Concluded (Contract signed),In operation (production),Exact location,"Tonkolili, Sierra Leone",8.6622,-12.011049,Sierra Leone,"###Biofuels, Food crops, Renewable Energy",2003##Concluded (Contract signed),Yes,"###Cassava (Maniok), Sugar Cane",Yes,Surface water,,,2000
1812,Yes,transnational,46255,46255,Concluded (Contract signed),In operation (production),Administrative region,"Tonkolili, Sierra Leone",8.738942,-11.797961,Sierra Leone,"#current#46255#Food crops, For carbon sequestration/REDD",2009##Concluded (Contract signed),No,"###Cassava (Maniok), Corn (Maize), Peanut (groundnut), Rice, Sorghum",,,,,2000
3013,Yes,domestic,30000,0,Intended (Under negotiation),None,Administrative region,"Tonkolili, Sierra Leone",8.738942,-11.797961,Sierra Leone,"###Biofuels, Food crops, Renewable Energy",2011##Intended (Under negotiation),Yes,###Sugar Cane,,,,,2000
3430,Yes,transnational,135000,0,Intended (Under negotiation),None,Administrative region,"Tonkolili, Sierra Leone",8.738942,-11.797961,Sierra Leone,"###Food crops, Non-food agricultural commodities",2012##Intended (Under negotiation),No,"###Rice, Rubber tree",Yes,,,,2000
1810,Yes,domestic,243400,243400,Concluded (Contract signed),None,Administrative region,"Tonkolili, Sierra Leone",8.980427,-11.794756,Sierra Leone,###For carbon sequestration/REDD,2010##Concluded (Contract signed),,,,,,,2000
1811,Yes,transnational,121406,121406,Concluded (Contract signed),None,Country,Sierra Leone,8.460555,-11.779889,Sierra Leone,"###Biofuels, For carbon sequestration/REDD",##Concluded (Contract signed),,###Trees (unspecified),,,,,2000
3010,Yes,transnational,0,0,Intended (Under negotiation),None,Country,Sierra Leone,8.460555,-11.779889,Sierra Leone,"###Biofuels, Food crops, Renewable Energy",2010##Intended (Under negotiation)|2012##Intended (Under negotiation),,###Sugar Cane,,,,,2000
3426,Yes,transnational,200000,0,Intended (Expression of interest),None,Country,Sierra Leone,8.460555,-11.779889,Sierra Leone,###Food crops,2011##Intended (Expression of interest),,###Rice (hybrid),,,,,2000
5186,Yes,transnational,0,0,Concluded (Contract signed),In operation (production),Country,Sierra Leone,8.460555,-11.779889,Sierra Leone,###Forest logging / management (for wood and fibre),2015##Concluded (Contract signed),No,###Trees (unspecified),No,,,,2000
5187,Yes,transnational,0,0,Concluded (Contract signed),In operation (production),Country,Sierra Leone,8.460555,-11.779889,Sierra Leone,###Forest logging / management (for wood and fibre),2015##Concluded (Contract signed),No,###Trees (unspecified),No,,,,2000
5188,Yes,transnational,0,0,Concluded (Contract signed),In operation (production),Country,Sierra Leone,8.460555,-11.779889,Sierra Leone,###Forest logging / management (for wood and fibre),2015##Concluded (Contract signed),No,###Trees (unspecified),No,,,,2000
